City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,63.48,35,62,5.79,NZ,1675999121
1,batagay,67.6333,134.6333,-42.39,94,92,0.98,RU,1675999121
2,dabrowa tarnowska,50.1746,20.9863,24.44,87,81,6.11,PL,1675999121
3,cape town,-33.9258,18.4232,70.92,75,0,10.0,ZA,1675999122
4,jamestown,42.097,-79.2353,47.01,89,100,13.8,US,1675999122
5,eregli,37.5133,34.0467,15.67,84,66,2.86,TR,1675999123
6,agropoli,40.3469,14.9966,39.15,78,100,8.79,IT,1675999123
7,castro,-24.7911,-50.0119,66.15,80,93,3.04,BR,1675999123
8,bethel,41.3712,-73.414,50.36,84,100,0.0,US,1675999124
9,puerto ayora,-0.7393,-90.3518,78.55,91,82,5.91,EC,1675999124
10,khromtau,50.2503,58.4347,12.92,88,100,17.85,KZ,1675999125
11,port elizabeth,-33.918,25.5701,63.1,94,0,3.44,ZA,1675999125
12,bengkulu,-3.8004,102.2655,82.26,68,99,5.7,ID,1675999125
13,quatre cocos,-20.2078,57.7625,79.09,77,85,11.32,MU,1675999126
14,faanui,-16.4833,-151.75,81.97,70,9,10.92,PF,1675999126
15,yellowknife,62.456,-114.3525,-13.58,100,46,4.56,CA,1675998942
16,hobyo,5.3505,48.5268,74.89,76,6,16.55,SO,1675999126
17,avarua,-21.2078,-159.775,82.45,69,20,3.44,CK,1675999127
18,yulara,-25.2406,130.9889,99.39,13,0,9.62,AU,1675999127
19,atasu,48.6814,71.6433,-4.52,97,100,3.38,KZ,1675999127
20,albany,42.6001,-73.9662,49.95,87,100,7.34,US,1675999128
21,bandarbeyla,9.4942,50.8122,74.66,75,13,13.24,SO,1675999128
22,carlagan,14.975,122.0456,80.4,72,34,12.01,PH,1675999128
23,dandong,40.1292,124.3947,36.93,53,63,3.76,CN,1675999129
24,vardo,70.3705,31.1107,28.38,80,88,20.71,NO,1675999129
25,butaritari,3.0707,172.7902,80.92,81,99,20.07,KI,1675999129
26,kukshi,22.2,74.75,73.9,22,7,1.3,IN,1675999130
27,tiksi,71.6872,128.8694,-39.57,99,82,4.32,RU,1675999130
28,norman wells,65.282,-126.8329,-7.56,77,20,5.75,CA,1675999130
29,sitka,57.0531,-135.33,44.49,70,100,12.66,US,1675999131
30,bluff,-46.6,168.3333,63.81,62,55,12.68,NZ,1675999131
31,niksic,42.7731,18.9445,13.86,76,42,6.31,ME,1675999131
32,bambous virieux,-20.3428,57.7575,79.21,78,40,6.91,MU,1675999132
33,nikolskoye,59.7035,30.7861,30.09,89,100,12.37,RU,1675999132
34,kapaa,22.0752,-159.319,82.38,79,75,19.57,US,1675999132
35,vaini,-21.2,-175.2,82.56,83,75,5.75,TO,1675999133
36,ushuaia,-54.8,-68.3,46.06,81,100,12.66,AR,1675999133
37,corinto,37.9407,22.9573,46.89,77,81,10.89,GR,1675999133
38,varazdin,46.3044,16.3378,27.1,63,0,0.36,HR,1675999134
39,arraial do cabo,-22.9661,-42.0278,74.48,90,55,8.52,BR,1675998955
40,vila velha,-20.3297,-40.2925,76.95,87,20,4.61,BR,1675999134
41,camacha,33.0833,-16.3333,58.42,77,40,14.97,PT,1675999134
42,busselton,-33.65,115.3333,77.72,47,0,13.0,AU,1675999135
43,kalmunai,7.4167,81.8167,77.85,80,87,6.78,LK,1675999135
44,sucre,-19.0333,-65.2627,56.55,81,73,2.39,BO,1675999135
45,bubaque,11.2833,-15.8333,73.89,67,10,15.43,GW,1675999136
46,chuy,-33.6971,-53.4616,69.15,90,0,4.07,UY,1675999136
47,paka,4.6374,103.4368,82.33,78,40,3.44,MY,1675999136
48,chokurdakh,70.6333,147.9167,-24.74,97,100,6.22,RU,1675999137
49,rokytne,51.2796,27.214,22.91,75,50,8.86,UA,1675999137
50,sur,22.5667,59.5289,69.24,70,5,8.14,OM,1675999137
51,enniskerry,53.1925,-6.1692,43.09,77,80,5.77,IE,1675999138
52,kodiak,57.79,-152.4072,22.51,42,0,4.61,US,1675999138
53,caravelas,-17.7125,-39.2481,73.44,91,86,3.65,BR,1675999138
54,rikitea,-23.1203,-134.9692,80.06,73,1,17.65,PF,1675999139
55,forbes,-33.3833,148.0167,86.34,28,0,5.39,AU,1675999139
56,ponta do sol,32.6667,-17.1,61.0,77,99,8.34,PT,1675999139
57,tuktoyaktuk,69.4541,-133.0374,-11.2,84,100,14.97,CA,1675999140
58,meulaboh,4.1363,96.1285,80.26,84,79,10.47,ID,1675999140
59,saldanha,-33.0117,17.9442,68.05,82,0,8.39,ZA,1675999140
60,dikson,73.5069,80.5464,3.34,93,100,30.53,RU,1675999141
61,pangnirtung,66.1451,-65.7125,-35.93,88,28,3.2,CA,1675999141
62,cabo san lucas,22.8909,-109.9124,68.5,65,0,3.44,MX,1675999001
63,usinsk,65.9939,57.5281,29.84,94,100,20.85,RU,1675999142
64,kruisfontein,-34.0033,24.7314,60.89,93,0,1.72,ZA,1675999142
65,nanortalik,60.1432,-45.2371,29.5,96,100,7.81,GL,1675999142
66,cidreira,-30.1811,-50.2056,73.11,84,70,8.99,BR,1675999143
67,torbay,47.6666,-52.7314,14.58,81,100,21.85,CA,1675999069
68,kulhudhuffushi,6.6221,73.07,79.18,72,97,3.71,MV,1675999143
69,atuona,-9.8,-139.0333,79.02,79,7,20.6,PF,1675999143
